Class,Baseline_Precision,LSTM_Precision,Baseline_Recall,LSTM_Recall,Baseline_F1,LSTM_F1
Access,0.9187969924812031,0.8851351351351351,0.8569424964936886,0.9186535764375876,0.8867924528301887,0.9015829318651066
Administrative rights,0.9,0.7772277227722773,0.6136363636363636,0.8920454545454546,0.7297297297297297,0.8306878306878307
HR Support,0.8706739526411658,0.8777876895628903,0.8762603116406966,0.9019248395967002,0.8734582000913659,0.8896925858951176
Hardware,0.7936305732484077,0.9106239460370995,0.9148311306901615,0.7929515418502202,0.849931787175989,0.847723704866562
Internal Project,0.9322033898305084,0.8162393162393162,0.7783018867924528,0.9009433962264151,0.8483290488431876,0.8565022421524664
Miscellaneous,0.8361823361823362,0.7953367875647669,0.8314447592067988,0.8696883852691218,0.8338068181818182,0.8308525033829499
Purchase,0.9908675799086758,0.8918918918918919,0.8785425101214575,0.9352226720647774,0.9313304721030042,0.9130434782608695
Storage,0.9699570815450643,0.9259259259259259,0.8158844765342961,0.9025270758122743,0.8862745098039215,0.9140767824497258
